epoch,learning_rate,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0003000000142492354,0.217635378241539,0.44724151492118835,0.13604944944381714,0.2845156192779541
1,0.0003000000142492354,0.09625023603439331,0.2410123497247696,0.06702595204114914,0.2593212425708771
2,0.0003000000142492354,0.04826122149825096,0.18906548619270325,0.03504214063286781,0.22184394299983978
3,0.0003000000142492354,0.025343822315335274,0.16324399411678314,0.019988439977169037,0.23735928535461426
4,0.0003000000142492354,0.014020102098584175,0.14673760533332825,0.014945763163268566,0.3595413863658905
5,0.0003000000142492354,0.008489063009619713,0.1378622055053711,0.008667245507240295,0.2278689742088318
6,0.0003000000142492354,0.005740262567996979,0.1316118836402893,0.007759228348731995,0.273101806640625
7,0.0003000000142492354,0.0043313829228281975,0.12757763266563416,0.005598675925284624,0.21185843646526337
8,0.0003000000142492354,0.0035809616092592478,0.12471336871385574,0.004747644066810608,0.19468671083450317
9,0.0003000000142492354,0.003192383795976639,0.12460315972566605,0.0038510223384946585,0.1641855537891388
10,0.0003000000142492354,0.00292533403262496,0.12177451699972153,0.004960552789270878,0.22602349519729614
11,0.0003000000142492354,0.002863760804757476,0.12223704904317856,0.004159579519182444,0.19044633209705353
12,0.0003000000142492354,0.002731309738010168,0.12118431180715561,0.003956444561481476,0.18417660892009735
13,0.0003000000142492354,0.002665800042450428,0.12091604620218277,0.006420993246138096,0.3097940981388092
14,0.0001500000071246177,0.0025058838073164225,0.11510950326919556,0.0034965896047651768,0.16560210287570953
15,0.0001500000071246177,0.002441136399284005,0.11326909810304642,0.0031477331649512053,0.1489986777305603
16,0.0001500000071246177,0.0024206554517149925,0.11292384564876556,0.003257140051573515,0.1548757404088974
17,0.0001500000071246177,0.002417701995000243,0.11289966851472855,0.0029709620866924524,0.14069579541683197
18,0.0001500000071246177,0.0023994543589651585,0.11239070445299149,0.0032276702113449574,0.15418432652950287
19,0.0001500000071246177,0.0023855450563132763,0.11209744215011597,0.0027070262003690004,0.12833331525325775
20,0.0001500000071246177,0.002367624780163169,0.11136379837989807,0.002835539635270834,0.1349399983882904
21,0.0001500000071246177,0.0023562428541481495,0.11092431098222733,0.003405970521271229,0.16349734365940094
22,0.0001500000071246177,0.00234978343360126,0.1106618344783783,0.002903637243434787,0.1384608894586563
23,0.0001500000071246177,0.0023626345209777355,0.11130591481924057,0.004125264007598162,0.199398934841156
24,7.500000356230885e-05,0.002268807031214237,0.10682652145624161,0.0024254608433693647,0.11498488485813141
25,7.500000356230885e-05,0.0022471207194030285,0.10633664578199387,0.002626397181302309,0.12551401555538177
26,7.500000356230885e-05,0.0022394456900656223,0.10619557648897171,0.003172733588144183,0.15311972796916962
27,7.500000356230885e-05,0.002222292358055711,0.1055787056684494,0.0022162224631756544,0.10531849414110184
28,7.500000356230885e-05,0.002216096967458725,0.10543721169233322,0.002231559017673135,0.10622217506170273
29,7.500000356230885e-05,0.0022058880422264338,0.1049971953034401,0.002421458950266242,0.1157662644982338
30,7.500000356230885e-05,0.002213567029684782,0.10524957627058029,0.0031182444654405117,0.15055221319198608
31,7.500000356230885e-05,0.002218563575297594,0.10550373047590256,0.002369825728237629,0.11307328939437866
32,3.7500001781154424e-05,0.0021587470546364784,0.10268065333366394,0.0021635685116052628,0.10306402295827866
33,3.7500001781154424e-05,0.002138917101547122,0.10186280310153961,0.0025675760116428137,0.1234254315495491
34,3.7500001781154424e-05,0.0021381184924393892,0.10194973647594452,0.0020241085439920425,0.09626345336437225
35,3.7500001781154424e-05,0.0021294355392456055,0.1016470417380333,0.0020257998257875443,0.0964151993393898
36,3.7500001781154424e-05,0.002121020806953311,0.10129936784505844,0.002240077592432499,0.10729670524597168
37,3.7500001781154424e-05,0.0021123718470335007,0.10097000747919083,0.0022115695755928755,0.1059274971485138
38,3.7500001781154424e-05,0.002102916594594717,0.10051821172237396,0.0026699139270931482,0.12896119058132172
39,1.8750000890577212e-05,0.0020852042362093925,0.0996868684887886,0.0019902708008885384,0.09490357339382172
40,1.8750000890577212e-05,0.002082318300381303,0.09961488842964172,0.0021778391674160957,0.10444650053977966
