site,bias_meV,didv_A
1,0.0,1.7821697e-12
1,0.5025125628140703,1.7813775625739806e-12
1,1.0050251256281406,1.7920567011029836e-12
1,1.507537688442211,1.783638996802903e-12
1,2.0100502512562812,1.8059848307556401e-12
1,2.5125628140703515,1.805850475039047e-12
1,3.015075376884422,1.8305151786211703e-12
1,3.517587939698492,1.821366143604199e-12
1,4.0201005025125625,1.8240325331379867e-12
1,4.522613065326633,1.8326787519951e-12
1,5.025125628140703,1.8443161913347857e-12
1,5.527638190954773,1.8459600855440123e-12
1,6.030150753768844,1.8389483968516652e-12
1,6.532663316582914,1.862657925987874e-12
1,7.035175879396984,1.8839828663755656e-12
1,7.537688442211055,1.880121120435625e-12
1,8.040201005025125,1.880472657512622e-12
1,8.542713567839195,1.884292702120834e-12
1,9.045226130653266,1.8860425092266183e-12
1,9.547738693467336,1.8770535757751656e-12
1,10.050251256281406,1.8848605574585814e-12
1,10.552763819095476,1.9100905773611284e-12
1,11.055276381909547,1.9071769462196515e-12
1,11.557788944723617,1.929169906075852e-12
1,12.060301507537687,1.9455159643357954e-12
1,12.562814070351758,1.9843916364703034e-12
1,13.065326633165828,1.9862170502077434e-12
1,13.567839195979898,2.0067739236694394e-12
1,14.070351758793969,2.0259474779922637e-12
1,14.572864321608039,2.0556843886385e-12
1,15.07537688442211,2.061170884588344e-12
1,15.57788944723618,2.0713277634514384e-12
1,16.08040201005025,2.08689879896263e-12
1,16.58291457286432,2.100584101445221e-12
1,17.08542713567839,2.1161203518775468e-12
1,17.587939698492463,2.1211142503303707e-12
1,18.09045226130653,2.137158782605954e-12
1,18.5929648241206,2.1451100704118375e-12
1,19.09547738693467,2.1446836193494228e-12
1,19.597989949748744,2.150460836339995e-12
1,20.100502512562812,2.1648427003698417e-12
1,20.60301507537688,2.1695109918618206e-12
1,21.105527638190953,2.1914425504901353e-12
1,21.608040201005025,2.1922920347117572e-12
1,22.110552763819094,2.199661238028603e-12
1,22.613065326633162,2.219258724336136e-12
1,23.115577889447234,2.2325659718109947e-12
1,23.618090452261306,2.252882648919881e-12
1,24.120603015075375,2.2630207730098295e-12
1,24.623115577889443,2.2608172674067676e-12
1,25.125628140703515,2.274289765739378e-12
1,25.628140703517587,2.3292342417866084e-12
1,26.130653266331656,2.3417917331197936e-12
1,26.633165829145725,2.3897332278631064e-12
1,27.135678391959797,2.419287330349667e-12
1,27.63819095477387,2.461612393234913e-12
1,28.140703517587937,2.5041611770535094e-12
1,28.643216080402006,2.541345087023254e-12
1,29.145728643216078,2.579252332163052e-12
1,29.64824120603015,2.6357165221661507e-12
1,30.15075376884422,2.6780751677947175e-12
1,30.653266331658287,2.738414036674827e-12
1,31.15577889447236,2.8095224935729954e-12
1,31.65829145728643,2.864143685314433e-12
1,32.1608040201005,2.9045252211893308e-12
1,32.66331658291457,2.933895902076935e-12
1,33.16582914572864,2.979991529315092e-12
1,33.66834170854271,3.0072272142680754e-12
1,34.17085427135678,3.030529437210573e-12
1,34.67336683417085,3.0561736053856316e-12
1,35.175879396984925,3.0904130388516556e-12
1,35.678391959798994,3.102500872334578e-12
1,36.18090452261306,3.118652237104774e-12
1,36.68341708542713,3.1463421090996492e-12
1,37.1859296482412,3.1627867960936564e-12
1,37.688442211055275,3.196960127487008e-12
1,38.19095477386934,3.2283310416356385e-12
1,38.69346733668341,3.2520315526347794e-12
1,39.19597989949749,3.2713915347395104e-12
1,39.698492462311556,3.2992116694034396e-12
