site,bias_meV,didv_A
1,0.0,4.9121e-12
1,0.5025125628140703,4.915920376884421e-12
1,1.0050251256281406,4.9270610301507535e-12
1,1.507537688442211,4.944744547738693e-12
1,2.0100502512562812,4.96779379396985e-12
1,2.5125628140703515,4.994796055276381e-12
1,3.015075376884422,5.02427324120603e-12
1,3.517587939698492,5.054883567839196e-12
1,4.0201005025125625,5.0855287939698495e-12
1,4.522613065326633,5.115450251256282e-12
1,5.025125628140703,5.144288944723618e-12
1,5.527638190954773,5.1720200251256285e-12
1,6.030150753768844,5.198902135678392e-12
1,6.532663316582914,5.22535701005025e-12
1,7.035175879396984,5.25188324120603e-12
1,7.537688442211055,5.278921809045226e-12
1,8.040201005025125,5.306833165829146e-12
1,8.542713567839195,5.3358579396984925e-12
1,9.045226130653266,5.366213266331658e-12
1,9.547738693467336,5.398238341708543e-12
1,10.050251256281406,5.432615226130653e-12
1,10.552763819095476,5.470642085427135e-12
1,11.055276381909547,5.514506959798995e-12
1,11.557788944723617,5.567438492462311e-12
1,12.060301507537687,5.633733969849246e-12
1,12.562814070351758,5.718609597989949e-12
1,13.065326633165828,5.82772592964824e-12
1,13.567839195979898,5.966529899497487e-12
1,14.070351758793969,6.139431105527638e-12
1,14.572864321608039,6.3488834673366824e-12
1,15.07537688442211,6.5946397487437175e-12
1,15.57788944723618,6.87321404522613e-12
1,16.08040201005025,7.1778088190954755e-12
1,16.58291457286432,7.498658090452259e-12
1,17.08542713567839,7.823900502512562e-12
1,17.587939698492463,8.140766457286432e-12
1,18.09045226130653,8.4369958040201e-12
1,18.5929648241206,8.702187361809044e-12
1,19.09547738693467,8.928903442211055e-12
1,19.597989949748744,9.11329216080402e-12
1,20.100502512562812,9.255210753768843e-12
1,20.60301507537688,9.357783341708542e-12
1,21.105527638190953,9.426557311557789e-12
1,21.608040201005025,9.468393216080403e-12
1,22.110552763819094,9.490380452261306e-12
1,22.613065326633162,9.498903190954773e-12
1,23.115577889447234,9.499072336683417e-12
1,23.618090452261306,9.494491130653267e-12
1,24.120603015075375,9.48744811557789e-12
1,24.623115577889443,9.479263266331659e-12
1,25.125628140703515,9.470789648241206e-12
1,25.628140703517587,9.46279783919598e-12
1,26.130653266331656,9.456243969849246e-12
1,26.633165829145725,9.45230944723618e-12
1,27.135678391959797,9.45224311557789e-12
1,27.63819095477387,9.457150653266333e-12
1,28.140703517587937,9.467729346733667e-12
1,28.643216080402006,9.484169648241206e-12
1,29.145728643216078,9.506153417085426e-12
1,29.64824120603015,9.53304703517588e-12
1,30.15075376884422,9.564199296482412e-12
1,30.653266331658287,9.599239170854271e-12
1,31.15577889447236,9.63833796482412e-12
1,31.65829145728643,9.682299095477387e-12
1,32.1608040201005,9.732507537688442e-12
1,32.66331658291457,9.790695854271356e-12
1,33.16582914572864,9.85862972361809e-12
1,33.66834170854271,9.937786934673366e-12
1,34.17085427135678,1.0029068643216079e-11
1,34.67336683417085,1.013267010050251e-11
1,35.175879396984925,1.0248046984924624e-11
1,35.678391959798994,1.0373999246231157e-11
1,36.18090452261306,1.0508895728643216e-11
1,36.68341708542713,1.0650762562814067e-11
1,37.1859296482412,1.0797422361809043e-11
1,37.688442211055275,1.0946718844221106e-11
1,38.19095477386934,1.1096272613065327e-11
1,38.69346733668341,1.1243681407035175e-11
1,39.19597989949749,1.1386547236180905e-11
1,39.698492462311556,1.1522367587939698e-11
1,40.201005025125625,1.1648930402010048e-11
1,40.70351758793969,1.1764165577889447e-11
1,41.20603015075376,1.1866604271356782e-11
1,41.70854271356784,1.1955391959798996e-11
1,42.211055276381906,1.2030375879396984e-11
1,42.713567839195974,1.2092058040201005e-11
1,43.21608040201005,1.2141481658291458e-11
1,43.71859296482412,1.2179930402010051e-11
1,44.22110552763819,1.220879673366834e-11
1,44.723618090452256,1.222950175879397e-11
1,45.226130653266324,1.2243376130653267e-11
1,45.7286432160804,1.2251592211055277e-11
1,46.23115577889447,1.225535904522613e-11
1,46.73366834170854,1.2255972864321608e-11
1,47.23618090452261,1.2254891457286431e-11
1,47.73869346733668,1.2253718090452262e-11
1,48.24120603015075,1.2253951256281407e-11
1,48.74371859296482,1.2256892211055276e-11
1,49.24623115577889,1.2263386683417085e-11
1,49.74874371859296,1.2273570100502512e-11
1,50.25125628140703,1.2286836432160805e-11
1,50.7537688442211,1.2301942211055276e-11
1,51.256281407035175,1.2317211557788945e-11
1,51.75879396984924,1.2330868090452261e-11
1,52.26130653266331,1.2341318341708541e-11
1,52.76381909547738,1.2347589698492463e-11
1,53.26633165829145,1.2349470100502511e-11
1,53.768844221105525,1.2347437437185929e-11
1,54.27135678391959,1.234257512562814e-11
1,54.77386934673366,1.2336284924623115e-11
1,55.27638190954774,1.23298175879397e-11
1,55.778894472361806,1.2324099497487436e-11
1,56.281407035175874,1.2319492462311558e-11
1,56.78391959798994,1.2315655778894473e-11
1,57.28643216080401,1.2311865829145728e-11
1,57.78894472361809,1.2307079396984925e-11
1,58.291457286432156,1.2300253266331658e-11
1,58.793969849246224,1.2290620854271357e-11
1,59.2964824120603,1.2277818844221104e-11
1,59.79899497487437,1.2261904271356783e-11
1,60.30150753768844,1.2243381658291457e-11
1,60.804020100502505,1.2222961557788945e-11
1,61.306532663316574,1.2201385175879396e-11
1,61.80904522613065,1.2179228391959799e-11
1,62.31155778894472,1.2156916834170854e-11
1,62.81407035175879,1.2134636683417086e-11
1,63.31658291457286,1.2112280402010051e-11
1,63.81909547738693,1.208970879396985e-11
1,64.321608040201,1.2066723869346734e-11
