epoch,learning_rate,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0003000000142492354,0.2640845775604248,0.5329974293708801,0.20313555002212524,0.3864838778972626
1,0.0003000000142492354,0.16341985762119293,0.30494561791419983,0.1305788904428482,0.3083140254020691
2,0.0003000000142492354,0.10661283135414124,0.22705498337745667,0.08714707940816879,0.23985831439495087
3,0.0003000000142492354,0.07211548089981079,0.18468120694160461,0.0603356808423996,0.22170740365982056
4,0.0003000000142492354,0.04993375390768051,0.15724709630012512,0.04293045401573181,0.2212706208229065
5,0.0003000000142492354,0.035106174647808075,0.13652148842811584,0.0315157026052475,0.23681475222110748
6,0.0003000000142492354,0.02497267909348011,0.11762689799070358,0.024179670959711075,0.2687804400920868
7,0.0003000000142492354,0.017942866310477257,0.09868980944156647,0.01695133000612259,0.17932675778865814
8,0.0003000000142492354,0.013153712265193462,0.08673819899559021,0.013265133835375309,0.18256932497024536
9,0.0003000000142492354,0.009785820730030537,0.07735533267259598,0.00937685091048479,0.12016493827104568
10,0.0003000000142492354,0.0073922318406403065,0.06974699348211288,0.011487511917948723,0.32005560398101807
11,0.0003000000142492354,0.005730918608605862,0.0665840283036232,0.009532861411571503,0.2893081605434418
12,0.0003000000142492354,0.004541295580565929,0.06426955759525299,0.006690974812954664,0.1952318251132965
13,0.0003000000142492354,0.003650608006864786,0.061191219836473465,0.004532041028141975,0.12250031530857086
14,0.0003000000142492354,0.0030277883633971214,0.06007181107997894,0.006011634599417448,0.22210349142551422
15,0.0003000000142492354,0.0025801106821745634,0.05972234532237053,0.004030574578791857,0.14169785380363464
16,0.0003000000142492354,0.0022188143339008093,0.058000266551971436,0.005793452262878418,0.24412629008293152
17,0.0003000000142492354,0.0019565699622035027,0.05699729546904564,0.004436207003891468,0.18657022714614868
18,0.0003000000142492354,0.001764868851751089,0.05619601160287857,0.004559581633657217,0.20006278157234192
19,0.0003000000142492354,0.0016286210156977177,0.05588493496179581,0.004349228460341692,0.19524507224559784
20,0.0001500000071246177,0.0014523928984999657,0.05109822750091553,0.00315164215862751,0.13803160190582275
21,0.0001500000071246177,0.0013866558438166976,0.050114355981349945,0.002976303920149803,0.13123193383216858
22,0.0001500000071246177,0.0013378601288422942,0.04958436265587807,0.0028772270306944847,0.12790547311306
23,0.0001500000071246177,0.001311697531491518,0.049872905015945435,0.004120033234357834,0.1916366070508957
24,0.0001500000071246177,0.0012916791019961238,0.05023588985204697,0.0019188649021089077,0.0827995166182518
25,0.0001500000071246177,0.0012524535413831472,0.049533165991306305,0.003406757488846779,0.15841862559318542
26,0.0001500000071246177,0.0012131602270528674,0.048564355820417404,0.00283684185706079,0.13079597055912018
27,0.0001500000071246177,0.0011963683646172285,0.04872388392686844,0.003760989522561431,0.17833217978477478
28,0.0001500000071246177,0.001177047030068934,0.04862130805850029,0.00326263508759439,0.1539657562971115
29,7.500000356230885e-05,0.0011097120586782694,0.045732948929071426,0.0018795451615005732,0.08494967222213745
30,7.500000356230885e-05,0.001089043216779828,0.045138731598854065,0.00197666697204113,0.09056758880615234
31,7.500000356230885e-05,0.0010775388218462467,0.044935327023267746,0.0025172128807753325,0.11781975626945496
32,7.500000356230885e-05,0.0010647852905094624,0.04461907967925072,0.001986614428460598,0.09154083579778671
33,3.7500001781154424e-05,0.001041871844790876,0.04372449964284897,0.0009324625716544688,0.03820114582777023
34,3.7500001781154424e-05,0.0010280734859406948,0.04319591447710991,0.000978443305939436,0.040850747376680374
35,3.7500001781154424e-05,0.001021843054331839,0.043119411915540695,0.0011738414177671075,0.05090729147195816
36,3.7500001781154424e-05,0.0010135123739019036,0.042856186628341675,0.000800995621830225,0.031944241374731064
37,3.7500001781154424e-05,0.0010070044081658125,0.042638055980205536,0.0011437064968049526,0.049606092274188995
38,3.7500001781154424e-05,0.0010017661843448877,0.042500659823417664,0.0017146255122497678,0.07899772375822067
39,3.7500001781154424e-05,0.0010024416260421276,0.04269653186202049,0.0014126426540315151,0.06362112611532211
40,3.7500001781154424e-05,0.00099841202609241,0.04260274022817612,0.001735094585455954,0.08003044128417969
